Country Region,EC financing,Title,Action location,Organisation,Total cost in Euro,Contract Nr,Theme,DAC code,Duration,Organisation nationality,Amount in Euro
Germany,"
						
						    78 %
					","SERIDAR Sociedad rural, economía y recursos naturales ¿ Integrando
competencias en el desarrollo rural","1. Faculdad Latinoamericana de Ciencias Sociales Sede Ecuador (Ecuador)
2. Faculdad Latinoamericana de Ciencias Sociales Sede Costa Rica (Costa Rica)
3. Universidad Nacional de Colombia (Colombia)
4. Universidad Autónoma Chapingo (Mexico)
5. Universidad Nacional Autónoma de Nicaragua (Nicaragua)
6. Universidad de Córdoba (Spain)

",HUMBOLDT-UNIVERSITAT ZU BERLIN,"
						     1,610,077
					",245558,Higher education,11420,36 months,Latin America Countries,"
						     1,248,756
					"
Germany,"
						
						    80 %
					",SESAMA (Sustainable Settlement with Economic Security of Uprooted People & Their Host Communities Through Streghtened & Adequate  Mediation Approach in Indonesia),NTT,CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,350,000
					",254265,Reconstruction relief and rehabilitation,73010,36 months,Indonesia,"
						     1,080,000
					"
Germany,"
						
						    75 %
					",SETTING UP COMMUNITY-BASED SUPPORT SERVICES FOR FAMILIES OF PEOPLE WITH FUNCTIONAL DISABILITIES IN VAHDAT DISTRICT ,"Tajikistan, Region of Republican Subordination, Vahdat District: jamoats Dusti & Numonroziq and city of Vahdat.
  
",DEUTSCHER CARITASVERBAND EV,"
						      202,700
					",243651,Social/ welfare services,16010,24 months,Tajikistan,"
						      152,025
					"
Germany,"
						
						    85 %
					",Seguridad alimentaria local en las provincias habaneras a través del fortalecimiento de la Agricultura Urbana y Suburbana y sus Redes de Servicios ,20 municipios de Provincia de La Habana- Cuba,DEUTSCHE WELTHUNGERHILFE EV,"
						     3,000,000
					",242590,Agricultural development,31120,48 months,Cuba,"
						     2,550,000
					"
Germany,"
						
						    90 %
					",Service and maintenance of imported farm machinery and equipment (SEMIFAME),Democratic People's Republic of Korea (North Korea),DEUTSCHE WELTHUNGERHILFE EV,"
						     1,200,000
					",231903,Food aid/Food security programmes,52010,36 months,North Korea,"
						     1,080,000
					"
Germany,"
						
						    90 %
					",Somali Pastoral Dairy Development Project Phase II (SPDDP II),"W. Galdeed, Togdheer, Sool, Sanag, Bari, nugal and Mudug regions
Somaliland & Puntland",TIERARZTE OHNE GRENZEN,"
						     2,222,222
					",244446,Livestock,31163,36 months,Somalia,"
						     2,000,000
					"
Germany,"
						
						    80 %
					",Strengthening Adaptation Capacities and Minimizing Risks of Vulnerable Coastal Communities in India,India (Coastal communities in Andhra Pradesh and Tamil Nadu) ,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH,"
						     1,092,889
					",220757,Disaster prevention and preparedness,74010,36 months,India,"
						      874,311
					"
Germany,"
						
						    59 %
					",Strengthening civil society in eliminating violence against children in the Philippines,"Philippines:  provinces of Ifugao, East Samar, Masbate, and Sultan Kudarat; and in cities of Quezon, Naga, Cebu and Davao ",PLAN INTERNATIONAL DEUTSCHLAND EV,"
						      424,168
					",259315,Human rights,15160,24 months,Philippines,"
						      250,000
					"
Germany,"
						
						    75 %
					",Strengthening of Civil Society Organizations and Youth empowerment in Yemen,"Republic of Yemen, governorates of Dhamar (Dhamar, Maber, Otma, Alsharag); Hadhramout (Seyoun, Tarim, Algatn, Alsom); Sana¿a (Manakha, Bai Hushaish, Bani Al-Hareth, Safan) and Taezz (Al Turba, Dimat Khider, Saber, Al Mokha)",DEUTSCHES ROTES KREUZ EV,"
						      668,388
					",242730,Democratic participation and civil society,15150,24 months,Yemen,"
						      500,000
					"
Germany,"
						
						   100 %
					","Strengthening the enforcement of Competition and State Aid legislation in Armenia
",Armenia,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH,"
						     1,100,000
					",256553,Business support services and institutions,25010,24 months,Armenia,"
						     1,100,000
					"
Germany,"
						
						    42 %
					",Support of wind energy and other renewable energy in Morocco,"Morocco, whole country with emphasis on the regions Souss Massa Daraâ, Meknès Tafilalet, Oriental, Tanger Tétouan and Rabat-Salé",INVESTITIONSBANK SCHLESWIG-HOLSTEIN,"
						     3,600,000
					",258541,Wind power,23068,36 months,Morocco,"
						     1,500,000
					"
Germany,"
						
						   100 %
					",Support to Democratisation in Egypt,Egypt ,DEMOCRACY REPORTING INTERNATIONAL GGMBH,"
						     1,654,235
					",264339,Democratic participation and civil society,15150,18 months,Egypt,"
						     1,654,235
					"
Germany,"
						
						    90 %
					",Support to National Action for Roma Inclusion,"BiH, Target Groups: Roma minority and Government institutions ",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      555,000
					",255516,Human rights,15160,24 months,Bosnia and Herzegovina,"
						      499,500
					"
Germany,"
						
						   100 %
					",Support to the Health Sector - Capacity Building of Kosovo Medicines Agency,Kosovo,BUNDESINSTITUT FUR ARZNEIMITTEL UNDMEDIZINPRODUKTE,"
						     1,000,000
					",245805,Health policy and administrative management,12110,24 months,Kosovo (under UNSCR 1244/99),"
						     1,000,000
					"
Germany,"
						
						   100 %
					",Support to the Institutional Development of the Georgian National Museum,"Tbilisi, Georgia",BUNDESREPUBLIK DEUTSCHLAND,"
						     1,150,000
					",222996,Culture and recreation,16061,24 months,Georgia,"
						     1,150,000
					"
Germany,"
						
						    80 %
					",Support to the strengthening of the Justice Sector: Access to Justice,"Zambia, all nine provinces. ",DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH,"
						     7,500,000
					",255050,Legal and judicial development,15130,36 months,Zambia,"
						     6,000,000
					"
Germany,"
						
						    80 %
					","Sustainable Improvement of Road Traffic Safety by Establishment of the EU-Asia Road Safety Centre of Excellence in Thailand  ''RoSCoE''
","Thailand, less so Germany and Hungary.",BAUHAUS-UNIVERSITAT WEIMAR,"
						      487,006
					",255738,Higher education,11420,30 months,Thailand,"
						      388,301
					"
Germany,"
						
						    62 %
					",Talking about migrants' lives in Russia,Russian Federation,DEUTSCHE WELLE,"
						      242,153
					",256740,Human rights,15160,24 months,Russia ,"
						      149,180
					"
Germany,"
						
						   100 %
					",Technical Assistance Programme for the National Bank of Serbia ¿ Strengthening the Institutional Capacities of the National Bank of Serbia,"Belgrade, Serbia",EUROPEAN CENTRAL BANK,"
						     2,500,000
					",258778,Monetary institutions,24020,24 months,Serbia,"
						     2,500,000
					"
Germany,"
						
						    80 %
					",The EU enlargement process: Open your mind and get involved!,"Germany, Bonn
Poland, Slovenia, Austria, France, Croatia, Hungary, Czech Republic, Greece",KONRAD-ADENAUER-STIFTUNG EV,"
						      244,623
					",242545,Communications policy and administrative management,22010,15 months,EU Europe ,"
						      195,699
					"
Germany,"
						
						    74 %
					","The Economic Development of the Prizren Region through improvement of tourist, potential infrastructure, establishment of a regional Tourist Association and rural tourist oriented business start-up",Kosovo,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      119,642
					",254122,Business support services and institutions,25010,18 months,Kosovo (under UNSCR 1244/99),"
						       87,990
					"
Germany,"
						
						    60 %
					","Tolerance, Dialogue, Cooperation! Promoting inter-religious dialogue in Macedonia through capacity building for media and religious representatives","fYR Macedonia (Western and North Western Region of Macedonia, City of Skopje)   ",KONRAD-ADENAUER-STIFTUNG EV,"
						      149,425
					",258644,Human rights,15160,12 months,Macedonia (Former Yugoslav Republic of),"
						       89,655
					"
Germany,"
						
						    75 %
					",Towards a Life-Long Active Society (TOLLAS),Belarus and regions,DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						      271,593
					",257564,Democratic participation and civil society,15150,24 months,Belarus,"
						      203,695
					"
Germany,"
						
						    80 %
					",Training of Civilian Experts for Crisis Management and Stabilisation Missions,EU Member States,BERLINER ZENTRUM FUR INTERNATIONALE FRIEDENSEINSATZE (ZIF) GGMBH,"
						     2,500,000
					",258277,"Civilian peace-building, conflict prevention and resolution",15220,24 months,All Countries,"
						     2,000,000
					"
Germany,"
						
						    75 %
					",Transitional Skills Training for Employment (TsTe),"Uganda, Teso region: Amuria, Bukedea, Katakwi, Kumi, Kaberamaido & Soroti Districts",SWISSCONTACT GERMANY GGMBH,"
						      763,392
					",249016,Vocational training,11330,36 months,Uganda,"
						      572,544
					"
Germany,"
						
						    90 %
					",Twinning Project 'Strengthening the capacities of police administration',Podgorica.,BUNDESREPUBLIK DEUTSCHLAND,"
						     1,381,347
					",252984,Security system management and reform,15210,21 months,Montenegro,"
						     1,249,481
					"
Germany,"
						
						    41 %
					",Vocational Training for Refugees from Myanmar,"Seven refugee camps along the Thai - Myanmar border (Ratchaburi, Kanchanaburi, Tak and Mae Hong Son Provinces.",ADRA DEUTSCHLAND EV,"
						     2,017,674
					",256896,Vocational training,11330,36 months,Thailand,"
						      828,600
					"
Germany,"
						
						    80 %
					",Workers¿PAS - Validation of Non- Formal and Informal Training,"Areas of Kampala, Mukono, Jinja, Kamuli & Tororo, Uganda",SWISSCONTACT GERMANY GGMBH,"
						      623,082
					",231275,Vocational training,11330,36 months,Uganda,"
						      498,466
					"
Germany,"
						
						    80 %
					",Working Together for Decent Work in East Africa,"Tanzania, Ethopia and Kenya",DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						     2,335,306
					",255732,Social/ welfare services,16010,36 months,All Countries,"
						     1,868,245
					"
Germany,"
						
						   100 %
					","Yawar and Karkar Rural Water Supply , Hygiene & Sanitation project","Yawar and Karkar LLG, Madang Province, Papua New Guinea.",WORLD VISION DEUTSCHLAND E.V.,"
						      789,775
					",232120,Basic drinking water supply and basic sanitation,14030,20 months,Papua New Guinea,"
						      789,775
					"
Germany,"
						
						    75 %
					",Young Women in Business - Rural Cambodia,"4 districts in Koh Kong provinces (Botom Sakor, Mondol Seima, Sre Ambel and Krong Khemarak Phoumin districts)",CARE DEUTSCHLAND-LUXEMBURG EV,"
						      576,795
					",242029,Basic life skills for youth and adults ,11230,36 months,Cambodia ,"
						      432,596
					"
Germany,"
						
						    75 %
					",Youth for Global Responsability,"Germany, Danemark and Czech Republic",FREIE UND HANSESTADT HAMBURG,"
						      594,794
					",253717,Promotion of development awareness,99820,24 months,EU Europe ,"
						      446,095
					"
Germany,"
						
						    50 %
					",revisao da legislaçao eleitoral moçambicana,"Os beneficiários finais serão os cidadãos moçambicanos em geral e a nivel nacional
o grupo alvo é : Deputados da Assembleia da Républica e particularmente a comissão encarregada para os assuntos eleitorais; os Partidos políticos; as Organizações da Sociedade Civil, Académicos, principalmente juristas e estudantes em Direito, Pesquisadores em matérias jurídico constitucionais e eleitorais; o Jornalistas e Órgãos de Comunicação Social",KONRAD-ADENAUER-STIFTUNG EV,"
						      204,000
					",233713,Elections,15151,24 months,Mozambique,"
						      102,000
					"
Germany,"
						
						    90 %
					",the establishment of a competence centre for organic and sustainable  agriculture in the DPR Korea,Democratic People's Republic of Korea (North Korea- DPRK),FORSCHUNGSINSTITUT FUR BIOLOGISCHEN LANDBAU DEUTSCHLAND EV,"
						      500,000
					",233922,Food aid/Food security programmes,52010,40 months,North Korea,"
						      450,000
					"
Germany,"
						
						    75 %
					", ''STOP MALARIA NOW!'' - an advocacy and multimedia awareness raising campaign to promote universal coverage of malaria control tools and strengthened local health systems as  key target to reach the MDGs.,"Germany, Italy, Poland and Spain",DEUTSCHES MEDIKAMENTENHILFSWERK ACTION MEDEOR EV,"
						      746,090
					",202071,Promotion of development awareness,99820,24 months,All Countries,"
						      559,567
					"
Germany,"
						
						    75 %
					","''Africa´s Demographic Challenges'' - An advocacy
and awareness raising campaign ","Germany, Austria, Hungary.",DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						      951,852
					",201795,Promotion of development awareness,99820,36 months,EU Europe ,"
						      713,889
					"
Germany,"
						
						    75 %
					",ACCESSanitation - Accelerating Cityo to Cityo Exchange for Sustainable Sanitation,"India, Philippines, Sub-Saharian Africa : region-wide (mainly dissemination - see description of the activities).",LOCAL ENVIRONMENTAL INITIATIVES (FREIBURG) ICLEI EUROPEAN SECRETARIATINTERNATIONALER RAT FUR KOMMUNALE UMWELTINITIATIVEN EUROPASEKRET GMBH,"
						     1,655,493
					",219897,Basic health infrastructure,12230,36 months,All Countries,"
						     1,241,620
					"
Germany,"
						
						    88 %
					","ASEAN Programme on the protection of Intellectual Property Rights 
(ECAP III)
",ASEAN,EUROPEAN PATENT ORGANISATION,"
						     5,100,000
					",171554,Trade facilitation,33120,48 months,Asia,"
						     4,500,000
					"
Germany,"
						
						    83 %
					","Advanced livelihoods and sustainable development for indigenous people in Ratanakiri province, Kingdom of Cambodia (ALDI) - Phase II","The project is implementing in two districts Ratanakiri province, Andong Meas and Ta Veng.",DEUTSCHE WELTHUNGERHILFE EV,"
						      542,400
					",217464,Food aid/Food security programmes,52010,24 months,Cambodia ,"
						      450,000
					"
Germany,"
						
						    75 %
					",Awareness for Fairness: Joint Action of Public Administration and NGOs for the Advancement of Global Education in Europe,"Germany, Austria, Czech Republic and United Kingdom",BERLIN,"
						     1,262,221
					",202602,Promotion of development awareness,99820,36 months,EU Europe ,"
						      946,665
					"
Germany,"
						
						    80 %
					",Baucau Food Security and Nutrition Project  1365,TIMOR LESTE,WORLD VISION DEUTSCHLAND E.V.,"
						     1,364,510
					",214611,Food aid/Food security programmes,52010,48 months,Timor Leste,"
						     1,091,608
					"
Germany,"
						
						    75 %
					","CIMAP- Establishing comparative indicator-based monitoring of anti-corruption progress in EU candidate and potential countries, including Kosovo under UNSCR 1244/99","Albania, FYR Macedonia, Turkey, Kosovo under UNSCR 1244/99",TRANSPARENCY INTERNATIONAL EV,"
						      265,065
					",225102,Support to local and regional NGOs,92030,18 months,Region IPA instrument,"
						      198,799
					"
Germany,"
						
						   100 %
					",Capacity Building in the field of Human Resource Management of the Central Bank of BiH,Bosnia and Herzegovina,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						      250,000
					",213684,Monetary institutions,24020,9 months,Bosnia and Herzegovina,"
						      250,000
					"
Germany,"
						
						   100 %
					",Capacity Enhancement for Implementing the Bologna Action Lines in Georgia (CEIBAL),"Tbilisi, Georgia",BUNDESREPUBLIK DEUTSCHLAND,"
						     1,100,000
					",210494,Higher education,11420,24 months,Georgia,"
						     1,100,000
					"
Germany,"
						
						    90 %
					",Capacity building on trade policy for Vietnam Association of Small and Medium Enterprises (VINASME),"Vietnam - all provincies
Beneficiaries: Vietnam Association of Small and Medium Enterprises and SMEs",SEQUA GGMBH,"
						      274,684
					",204528,Trade policy and administrative management,33110,30 months,Vietnam,"
						      247,216
					"
Germany,"
						
						    85 %
					",Caribbean Wide Elaboration of Collaboration schemes,"Jamaica, Trinidad and Tobago, St. Lucia",TECHNISCHE UNIVERSITAT DRESDEN,"
						     1,152,012
					",217060,Research/scientific institutions,43082,36 months,ACP Countries,"
						      979,210
					"
Germany,"
						
						    80 %
					",Community Mobilisation for Integrated Water Resource Management in Khatlon and Sughd Regions,"Khatlon Region, district of Baljuvon, Kyzylsu Watershed area;
Sughd Region, district of Penjikent, Zerafshan Valley
",DEUTSCHE WELTHUNGERHILFE EV,"
						      572,234
					",202097,Rural development,43040,20 months,Tajikistan,"
						      457,787
					"
Germany,"
						
						    90 %
					",Community-Based Project to Strengthen Household Resilience to Food Price Volatility,"Lao PDR, Oudomxay province, Nga district",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,114,653
					",213699,Food aid/Food security programmes,52010,23 months,Laos,"
						      999,732
					"
Germany,"
						
						    96 %
					",Comprehensive support to refugees and displaced persons in Montenegro ,Montenegro and Kosovo,HELP - HILFE ZUR SELBSTHILFE EV,"
						     1,570,268
					",217486,Sectors not specified,99810,17 months,Montenegro,"
						     1,500,000
					"
Germany,"
						
						    65 %
					","Connecting People, Transferring Knowledge - Promotion of Quality Education in Lembata, Indonesia
","Nusa Tenggara Timur (NTT) Province: District of Lembata, Sub ¿ Districts of Ile Ape and Lebatukan",PLAN INTERNATIONAL DEUTSCHLAND EV,"
						      303,816
					",215138,Primary education,11220,24 months,Indonesia,"
						      198,160
					"
Germany,"
						
						   100 %
					",Convention de Délégation avec la GTZ d'appui à la déconcentration,Bénin,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						      700,000
					",205884,Government administration ,15140,13 months,Benin,"
						      700,000
					"
Germany,"
						
						    90 %
					",Cooperativas enfrentando la subida de los precios de los alimentos.,"Tres municipios del departamento de Matagalpa, cuatro del departamento de Estelí y uno del departamento de León - Nicaragua",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,205,243
					",214268,Food aid/Food security programmes,52010,22 months,Nicaragua,"
						     1,084,718
					"
Germany,"
						
						    75 %
					","Création de Centres d¿Assistance Juridique et d¿Action Citoyenne (CAJAC) au Cameroun, Niger, Sénégal, à Madagascar et à Maurice",,TRANSPARENCY INTERNATIONAL EV,"
						     2,628,790
					",223007,Anti-corruption organisations and institutions,15113,36 months,Cameroon,"
						     1,971,593
					"
Germany,"
						
						    85 %
					",Dakcheung Food Security Project,"Dakcheung district, Xieng Khouang Province, Lao PDR",CARE DEUTSCHLAND-LUXEMBURG EV,"
						     1,149,743
					",216871,Food aid/Food security programmes,52010,45 months,Laos,"
						      977,282
					"
Germany,"
						
						    59 %
					",Delegation agreement with KFW for the Municipal Window of the Infrastructure Project Facility Kosovo Window,Kosovo,KREDITANSTALT FUR WIEDERAUFBAU,"
						    42,700,000
					",221084,Reconstruction relief and rehabilitation,73010,85 months,Kosovo (under UNSCR 1244/99),"
						    25,000,000
					"
Germany,"
						
						    78 %
					","Democracy Starts with You! ¿ Improving Political
Participation of young people from minority and
rural areas in the South Caucasus Region","Armenia, Azerbaijan, Georgia",KONRAD-ADENAUER-STIFTUNG EV,"
						     1,888,000
					",167296,Democratic participation and civil society,15150,36 months,Region Neighbourhood,"
						     1,470,000
					"
Germany,"
						
						    44 %
					",Des Revenus Verts pour la nourriture ,Mauritania,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     5,496,305
					",213637,Food aid/Food security programmes,52010,24 months,Mauritania,"
						     2,418,374
					"
Germany,"
						
						    80 %
					",Dialogue Initiative for Peace and Conflict Resolution in Kashmir,"India, Pakistan, Jammu & Kashmir (J&K), Azad Jammu Kashmir (AJK), Northern Areas of Pakistan,
Delhi, Islamabad, Lahore",FRIEDRICH-NAUMANN-STIFTUNG FUR DIEFREIHEIT,"
						     1,252,258
					",228073,Human rights,15160,36 months,South Asia Region,"
						     1,001,806
					"
Germany,"
						
						   100 %
					",EASA-IPA 2009-2010 Project,,EUROPEAN AVIATION SAFETY AGENCY,"
						      700,000
					",202669,Multisector aid,43010,24 months,Region IPA instrument,"
						      700,000
					"
Germany,"
						
						   100 %
					",EU Standards for the Ministry of Justice,Kosovo,DEUTSCHE STIFTUNG FUR INTERNATIONALE RECHTLICHE ZUSAMMENARBEIT IRZ-STIFTUNG,"
						     2,400,000
					",215521,Legal and judicial development,15130,33 months,Kosovo (under UNSCR 1244/99),"
						     2,400,000
					"
Germany,"
						
						    75 %
					",EU Trade & Agriculture Policy and its implication on poverty reduction (MDG 1) ¿  Promotion of coherence by Civil Society,"Germany, Italy, Belgium, Uganda, Burkina Faso",KATHOLISCHE ZENTRALSTELLE FUERENTWICKLUNGSHILFE E.V.,"
						      686,940
					",202370,Promotion of development awareness,99820,36 months,EU Europe ,"
						      515,205
					"
Germany,"
						
						    75 %
					","East for South, 
Development Awareness from the Roots
in short: East for South
","Germany, Belgium, EU 12",DEUTSCHE WELLE,"
						      736,526
					",201985,Promotion of development awareness,99820,24 months,EU Europe ,"
						      552,395
					"
Germany,"
						
						    75 %
					","EcoFair Trade Dialogue - A European multi stakeholder coalition for a more coherent, fair and sustainable trading policy with a special focus on agriculture","Germany, Czech Republic, Belgium, Poland, Kenia, South Africa, EU",HEINRICH BOLL STIFTUNG EV,"
						     1,199,579
					",202195,Promotion of development awareness,99820,36 months,EU Europe ,"
						      899,602
					"
Germany,"
						
						    75 %
					","Education for Children with Disabilities: A Local Authority Framework for Inclusion
","Province of Yogyakarta: Districts of Bantul, Gunung Kidul, Sleman, Kulon Progo and Yogyakarta City",ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						      193,585
					",215239,Primary education,11220,20 months,Indonesia,"
						      145,189
					"
Germany,"
						
						    72 %
					",Empowering Indigenous People for inclusive development ,"Philippines, Antique, Island of Panay; Municipalities of Anini-y, Hamtic, Laua-an, Tobias Fornier and Valderrama",KINDERNOTHILFE EV,"
						      373,494
					",225987,Democratic participation and civil society,15150,48 months,Philippines,"
						      267,464
					"
Germany,"
						
						    88 %
					","Empowering Women: Access and ownership over land and land based activities through education, legal literacy and advocacy in rural India","100 villages from the states of Jharkhand, Orissa, Rajasthan, Madhya Pradesh (India)
Target Groups: 3,300 tribal, dalit and socially disadvantaged women in these 100 villages
",DEUTSCHE WELTHUNGERHILFE EV,"
						      540,000
					",206755,Women’s equality organisations and institutions,15170,36 months,India,"
						      475,200
					"
Germany,"
						
						    50 %
					",Enhancement of food security in the Visayas,"Philippines, Visayas",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     5,251,731
					",213645,Food aid/Food security programmes,52010,24 months,Philippines,"
						     2,606,959
					"
Germany,"
						
						    90 %
					",Enhancing Urban and Peri-Urban Agriculture in Liberia,"Liberia, Western Greater Monrovia, Tubmanburg and the corridor between Monrovia and Tubmanburg",DEUTSCHE WELTHUNGERHILFE EV,"
						     1,722,220
					",217841,Agricultural development,31120,36 months,Liberia,"
						     1,550,000
					"
Germany,"
						
						    75 %
					","Entwicklungspolitisches Bildungs- und Multiplikatorenprogramm für Studierende aus Afrika, Asien und Lateinamerika in Deutschland",Germany (14 Länder),DIAKONISCHES WERK DER EVANGELISCHEN KIRCHE IN DEUTSCHLAND EV,"
						      998,500
					",201890,Promotion of development awareness,99820,36 months,Germany,"
						      748,875
					"
Germany,"
						
						    80 %
					",Establishing E-Waste Channels to Enhance Environment Friendly Recycling,"Delhi (NCR), Bangalore, Kolkata and Pune  - India ",DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     2,004,045
					",203023,Waste management/disposal,14050,48 months,India,"
						     1,603,236
					"
Germany,"
						
						   100 %
					",Eurosystem TA Programme on Banking Supervision for the Central Bank of Egypt (CBE),"Cairo, Egypt",EUROPEAN CENTRAL BANK,"
						     3,000,000
					",172640,Financial policy and administrative management,24010,36 months,Egypt,"
						     3,000,000
					"
Germany,"
						
						    88 %
					",Expanded Participation in Basic Education (EPIBE),"Somaliland: Sool, Sanaag
Puntland: Bari, Karkaar, 
Central/ South: Nugal, Mudug,Bay, Bakool, Hiiraan",ADRA DEUTSCHLAND EV,"
						     3,396,434
					",217427,Basic life skills for youth and adults ,11230,36 months,Somalia,"
						     3,000,000
					"
Germany,"
						
						    90 %
					",Female Literacy Angola Mozambique (FELITAMO),"Angola - Province of Cuanza Sul
Mozambique ¿ Provinces of Cabo Delgado and Nampula

Target groups:
1.NSA LAE providers and women¿s organisations designing and implementing literacy programmes (300 persons )
2.Literacy educators and stakeholders in school governance (480 persons )
3.LAE stakeholders and decision and policy makers in Angola and Mozambique (600 persons)
4.Non-literate and semi-literate rural women in Cuanza Sul (Angola) and Cabo Delgado and Nampula  (Mozambique) (4 800 p",DEUTSCHER VOLKSHOCHSCHUL-VERBAND EV,"
						     1,100,000
					",206757,Primary education,11220,36 months,Southern Africa Region,"
						      990,000
					"
Germany,"
						
						    90 %
					",Food Facility Support to households affected by HIV/AIDS,Lesotho,DEUTSCHES ROTES KREUZ EV,"
						      635,022
					",213927,Food aid/Food security programmes,52010,22 months,Lesotho,"
						      571,520
					"
Germany,"
						
						    90 %
					",Food facility for rapid response to soaring food prices,"Bale Zone, Oromia Region",DEUTSCHES ROTES KREUZ EV,"
						     1,322,421
					",213930,Food aid/Food security programmes,52010,20 months,Ethiopia,"
						     1,190,179
					"
Germany,"
						
						    75 %
					",Fortalecimiento de Capacidades Locales para la Implementación de medidas de adaptación al Cambio Climático,"Perú, región Cusco, provincia de Paucartambo: distritos de Colquepata, Huancarani y Paucartambo; provincia de Chumbivilcas: distritos de Llusco, Quiñota y Santo Tomás",DEUTSCHE WELTHUNGERHILFE EV,"
						      533,163
					",204933,Environmental policy and administrative management,41010,48 months,Peru,"
						      399,873
					"
Germany,"
						
						    67 %
					",Fostering European aid effectiveness for Agricultural Research for Development'' (called the FSTP EIARD project),Worldwide,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     1,950,000
					",199950,Food aid/Food security programmes,52010,3 years,All Countries,"
						     1,300,000
					"
Germany,"
						
						    75 %
					",From Policy to Action: Providing Safe Motherhood and Reproductive Health Services to Young People,Kaloleni District in Coast Province and Korogocho-Mathare Slums,DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						      799,982
					",227680,Reproductive health care,13020,24 months,Kenya,"
						      599,987
					"
Germany,"
						
						    75 %
					",Global Generation. Global education for the elderly,"Germany, Austria, Hungary",WELTFRIEDENSDIENST EV,"
						      917,642
					",202036,Promotion of development awareness,99820,36 months,EU Europe ,"
						      688,231
					"
Germany,"
						
						    75 %
					",HEALTHY ACTION- Empowering East African Non State Actors to advocate effectively on health issues,"Kenya, Uganda and Tanzania",DEUTSCHE STIFTUNG WELTBEVOLKERUNG (DSW),"
						     2,006,973
					",220901,Reproductive health care,13020,36 months,East Africa Region,"
						     1,505,230
					"
Germany,"
						
						    90 %
					",Housing Support to Long-Term Conflict Affected IDPs in Sri Lanka,Srilanka - Vavuniya,ARBEITER-SAMARITER-BUND DEUTSCHLAND E.V.,"
						    11,249,814
					",204503,Low-cost housing,16040,36 months,Sri Lanka,"
						    10,124,833
					"
Germany,"
						
						    49 %
					","Identification of Poor Households in Rural Areas of Cambodia to Improve
Food Security and Access to Essential Services for the Poor",Rural areas Cambodia,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     4,078,366
					",213618,Food aid/Food security programmes,52010,22 months,Cambodia ,"
						     2,000,000
					"
Germany,"
						
						    50 %
					","Improved Food Security in Foya District, Liberia",Liberia,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     4,000,000
					",213632,Food aid/Food security programmes,52010,24 months,Liberia,"
						     2,000,000
					"
Germany,"
						
						    50 %
					",Improving Food Security in Northern Laos,Laos,DEUTSCHE GESELLSCHAFT FUR TECHNISCHE ZUSAMMENARBEIT (GTZ) GMBH,"
						     4,000,000
					",213655,Food aid/Food security programmes,52010,22 months,Laos,"
						     2,000,000
					"
Germany,"
						
						    90 %
					","Improving access to food for Today, Tomorrow and the Future",Senegal,WORLD VISION DEUTSCHLAND E.V.,"
						     2,450,786
					",213894,Food aid/Food security programmes,52010,20 months,Senegal,"
						     2,205,707
					"
Germany,"
						
						    75 %
					",Inclusion of People with Physical Disabilities in the Social and Economic Life of East Timor.,TIMOR LESTE,CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						      456,429
					",200450,Democratic participation and civil society,15150,48 months,Timor Leste,"
						      342,321
					"
Germany,"
						
						    75 %
					","Inclusión social, cultural, educativa y empoderamiento de las personas con sordoceguera y retos múltiples en la sociedad guatemalteca, contribuyendo a la reducción de la pobreza",,CHRISTOFFEL-BLINDENMISSION DEUTSCHLAND EV,"
						      527,027
					",208118,Support to international NGOs,92020,36 months,Guatemala,"
						      395,270
					"
